Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,15 000 000 〒,Даулет,,6,100,Floor: 2;  Construction year: 2014
Отдельный дом ,60 000 000 〒,"Жетысуский р-н, мкр Айнабулак-3, Павлодарская 118",Жетысуский,4,100,Floor: 1;  Construction year: 1980
Отдельный дом ,30 000 000 〒,"Турксибский р-н, мкр Жас Канат, Кировоградская — Шемякина",Турксибский,3,72,Floor: 1
Отдельный дом ,38 000 000 〒,"Алатауский р-н, мкр Рахат 22 — Айпара",Алатауский,6,200,Floor: 2;  Construction year: 2018
Отдельный дом ,115 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак — Аксайской детской больницы.",Наурызбайский,5,215.5,Floor: 2;  Construction year: 2015
Отдельный дом ,112 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 30",Наурызбайский,8,200,Floor: 2;  Construction year: 2014
Отдельный дом ,29 000 000 〒,"Жетысуский р-н, Хожамьярова",Жетысуский,3,53,Floor: 1
Часть дома ,32 000 000 〒,"Турксибский р-н, Покровская 14/1",Турксибский,3,80,
Отдельный дом ,130 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак 65а",Наурызбайский,9,300,Floor: 3;  Construction year: 2018
Отдельный дом ,100 000 000 〒,"Жетысуский р-н, Баишева — Бондоренко",Жетысуский,4,125,Floor: 2;  Construction year: 2018
Отдельный дом ,120 000 000 〒,"Медеуский р-н, мкр Горный Гигант, улица Азербаева 25",Медеуский,4,80,Floor: 1
Отдельный дом ,55 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Мкр Нур Алатау ул Жанар 24 — Выше Казвхфилма",Бостандыкский,5,80,Floor: 1;  Construction year: 1982
Отдельный дом ,70 000 000 〒,"Алмалинский р-н, Ислама Каримова — Кулымбетова",Алмалинский,6,120,Floor: 1;  Construction year: 1965
Часть дома ,25 000 000 〒,"Медеуский р-н, Халиуллина 56 — Район Малая Станица",Медеуский,4,65,Floor: 1;  Construction year: 1996
Отдельный дом ,49 000 000 〒,"Алатауский р-н, мкр Карасу",Алатауский,3,100,Floor: 1;  Construction year: 2003
Отдельный дом ,100 000 000 〒,"Турксибский р-н, Спасская улица 19 — Кобикова",Турксибский,5,170,Floor: 2;  Construction year: 2015
Отдельный дом ,85 000 000 〒,"Алатауский р-н, мкр Рахат 111 — Байжанова",Алатауский,6,187,Floor: 2;  Construction year: 2016
Отдельный дом ,205 000 000 〒,"Ауэзовский р-н, мкр Таугуль-3, Дауленова 7 — Жандосова",Ауэзовский,7,350,Floor: 2;  Construction year: 2010
Отдельный дом ,135 000 000 〒,"Наурызбайский р-н, мкр Акжар, Абылхайыр хана 7",Наурызбайский,10,362,Floor: 2;  Construction year: 2010
Часть дома ,40 000 000 〒,"Турксибский р-н, Монтина 8 — Возле кинотеатр шугла",Турксибский,7,150,
Отдельный дом ,49 000 000 〒,"Медеуский р-н, Кабилова",Медеуский,5,80.2,Floor: 1
Отдельный дом ,38 000 000 〒,"Наурызбайский р-н, мкр Курамыс 28/1 — Акселеу Сейдимбек",Наурызбайский,6,120,Floor: 1;  Construction year: 1997
Отдельный дом ,85 000 000 〒,"Наурызбайский р-н, мкр Акжар, Немат Келимбетов 44",Наурызбайский,5,76,Floor: 1;  Construction year: 1967
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Акжар, Саламат Мукашева 37",Наурызбайский,3,104,Floor: 1;  Construction year: 1992
Часть дома ,35 500 000 〒,"Наурызбайский р-н, мкр Курамыс сейдимбек",Наурызбайский,2,40,
Отдельный дом ,70 000 000 〒,"Наурызбайский р-н, мкр Таужолы, СТ Весна 65 249",Наурызбайский,4,100,Floor: 2;  Construction year: 2013
Отдельный дом ,150 000 000 〒,"Наурызбайский р-н, мкр Карагайлы",Наурызбайский,5,187.5,Floor: 2;  Construction year: 2014
Отдельный дом ,95 000 000 〒,"Алатауский р-н, мкр Карасу",Алатауский,6,100,Floor: 1;  Construction year: 1974
Отдельный дом ,28 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 38",Наурызбайский,5,82,Floor: 1;  Construction year: 2012
Отдельный дом ,30 000 000 〒,"Наурызбайский р-н, Монтажная 3 — Виноградная",Наурызбайский,3,130,Floor: 1;  Construction year: 2018
Отдельный дом ,38 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское) 140",Жетысуский,3,80,
Отдельный дом ,75 000 000 〒,"Медеуский р-н, Карбышева 59 — Демченко",Медеуский,5,90,Floor: 1;  Construction year: 1976
Отдельный дом ,110 000 000 〒,"Алатауский р-н, мкр Акбулак 86 — Мукаева",Алатауский,5,271,Floor: 2;  Construction year: 2010
Отдельный дом ,95 000 000 〒,"Алатауский р-н, мкр Алгабас, Мкр . Алгабас 4 — Қаражорға Калампыр",Алатауский,8,240,Floor: 2;  Construction year: 2015
Отдельный дом ,250 000 000 〒,"Медеуский р-н, Макатаева 1",Медеуский,6,219,Floor: 2;  Construction year: 2024
Отдельный дом ,45 000 000 〒,Жибек жолы 4а — Айзере магазин,,3,70,Floor: 1;  Construction year: 2022
Отдельный дом ,43 000 000 〒,"Медеуский р-н, Ул. Сазановская 133 — Беимбетова",Медеуский,4,90,Floor: 1
Отдельный дом ,165 000 000 〒,"Медеуский р-н, Керей-Жанибек хандар 29а",Медеуский,7,590,Floor: 3;  Construction year: 2023
Отдельный дом ,88 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, Сеийтбекова 23",Наурызбайский,5,170,Floor: 2;  Construction year: 2004
Отдельный дом ,960 000 000 〒,"Бостандыкский р-н, мкр Мирас 2\27а",Бостандыкский,10,800,Floor: 5м2
Отдельный дом ,2 916 000 000 〒,"Медеуский р-н, Керей-жанибека хандра 493",Медеуский,5,545,Floor: 2;  Construction year: 2005
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Заря Востока, Талбесик 71 — Между дунганской цунвазо",Алатауский,4,68,Floor: 1;  Construction year: 1970
Отдельный дом ,315 000 369 〒,"Медеуский р-н, мкр Думан-1, Сарбаиская 9 — Сарбаиская уг Ахундова",Медеуский,8,320,Floor: 3;  Construction year: 2018
Отдельный дом ,120 000 000 〒,"Турксибский р-н, Свободная 71 — Бекмаханова",Турксибский,3,100,Floor: 1
Часть дома ,35 000 000 〒,"Турксибский р-н, Котельникова 62 — Мосина",Турксибский,4,99,Floor: 1;  Construction year: 1960
Отдельный дом ,160 000 000 〒,"Алатауский р-н, мкр Заря Востока",Алатауский,4,120,Floor: 1;  Construction year: 1991
Отдельный дом ,180 000 000 〒,"Турксибский р-н, мкр Жас Канат, Федоссева 551",Турксибский,4,336,Floor: 2;  Construction year: 2020
Отдельный дом ,70 000 000 〒,"Медеуский р-н, мкр Думан-1, Садық Әбжаппаров 14 — Бурабай қыйылысы",Медеуский,5,90,Floor: 1;  Construction year: 2003
Часть дома ,28 000 000 〒,"Турксибский р-н, мкр 13-й военный городок, Мкр 13-й военный городок — Суюнбая 224",Турксибский,3,77.7,Floor: 1;  Construction year: 1958
Отдельный дом ,47 000 000 〒,"Медеуский р-н, Онеге 88 — Верненская иштвар коныра",Медеуский,5,88,Construction year: 1968
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Шанырак-2 45 — Аубакирова 45",Алатауский,4,130,Floor: 2;  Construction year: 2010
Отдельный дом ,70 000 000 〒,"Медеуский р-н, мкр Аскартау 15",Медеуский,6,500,Floor: 3;  Construction year: 2022
Часть дома ,85 000 000 〒,"Ауэзовский р-н, мкр №11, Садовникова — Шаляпина-Утеген батыра",Ауэзовский,4,86,Floor: 1;  Construction year: 1965
